,Synthetic_taxon_01,Synthetic_taxon_02,Synthetic_taxon_03,Synthetic_taxon_04,Synthetic_taxon_05,Synthetic_taxon_06,Synthetic_taxon_07,Synthetic_taxon_08,Synthetic_taxon_09,Synthetic_taxon_10,Synthetic_taxon_11,Synthetic_taxon_12,Synthetic_taxon_13,Synthetic_taxon_14,Synthetic_taxon_15,Synthetic_taxon_16,Synthetic_taxon_17,Synthetic_taxon_18,Synthetic_taxon_19,Synthetic_taxon_20,Synthetic_taxon_21,Synthetic_taxon_22,Synthetic_taxon_23,Synthetic_taxon_24,Synthetic_taxon_25,Synthetic_taxon_26,Synthetic_taxon_27,Synthetic_taxon_28,Synthetic_taxon_29,Synthetic_taxon_30
Synthetic_taxon_11,0.25,0.22740044388252284,0.22740044388252284,0.22740044388252284,0.22740044388252284,0.25,0.25,0.22740044388252284,0.22740044388252284,0.22740044388252284,0.0,0.21821250939670966,0.22740044388252284,0.22740044388252284,0.22740044388252284,0.25,0.22740044388252284,0.22740044388252284,0.22740044388252284,0.22740044388252284,0.22740044388252284,0.02094552796926323,0.22740044388252284,0.22740044388252284,0.22740044388252284,0.22740044388252284,0.22740044388252284,0.22740044388252284,0.22740044388252284,0.22740044388252284
Synthetic_taxon_12,0.25,0.22740044388252284,0.22740044388252284,0.22740044388252284,0.22740044388252284,0.25,0.25,0.22740044388252284,0.22740044388252284,0.22740044388252284,0.21821250939670966,0.0,0.22740044388252284,0.22740044388252284,0.22740044388252284,0.25,0.22740044388252284,0.22740044388252284,0.22740044388252284,0.22740044388252284,0.22740044388252284,0.21821250939670966,0.22740044388252284,0.22740044388252284,0.22740044388252284,0.22740044388252284,0.22740044388252284,0.22740044388252284,0.22740044388252284,0.22740044388252284
Synthetic_taxon_13,0.25,0.22487510691594237,0.22487510691594237,0.22487510691594237,0.13278791703550366,0.25,0.25,0.22487510691594237,0.22487510691594237,0.22487510691594237,0.22740044388252284,0.22740044388252284,0.0,0.01976877408981295,0.22487510691594237,0.25,0.22487510691594237,0.22487510691594237,0.22487510691594237,0.22487510691594237,0.22487510691594237,0.22740044388252284,0.22487510691594237,0.22487510691594237,0.22487510691594237,0.22487510691594237,0.22487510691594237,0.13873796338085073,0.22487510691594237,0.13278791703550366
Synthetic_taxon_14,0.25,0.22487510691594237,0.22487510691594237,0.22487510691594237,0.13278791703550366,0.25,0.25,0.22487510691594237,0.22487510691594237,0.22487510691594237,0.22740044388252284,0.22740044388252284,0.01976877408981295,0.0,0.22487510691594237,0.25,0.22487510691594237,0.22487510691594237,0.22487510691594237,0.22487510691594237,0.22487510691594237,0.22740044388252284,0.22487510691594237,0.22487510691594237,0.22487510691594237,0.22487510691594237,0.22487510691594237,0.13873796338085073,0.22487510691594237,0.13278791703550366
Synthetic_taxon_15,0.25,0.043308132144397986,0.14778604248202679,0.2037592533971156,0.22487510691594237,0.25,0.25,0.2037592533971156,0.12986652897710838,0.12986652897710838,0.22740044388252284,0.22740044388252284,0.22487510691594237,0.22487510691594237,0.0,0.25,0.12986652897710838,0.14778604248202679,0.14778604248202679,0.2037592533971156,0.12986652897710838,0.22740044388252284,0.14778604248202679,0.12035186786681558,0.14778604248202679,0.14778604248202679,0.12986652897710838,0.22487510691594237,0.14778604248202679,0.22487510691594237
Synthetic_taxon_16,0.027673027486768607,0.25,0.25,0.25,0.25,0.10779507075395381,0.06052282755772661,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Synthetic_taxon_17,0.25,0.12986652897710838,0.14778604248202679,0.2037592533971156,0.22487510691594237,0.25,0.25,0.2037592533971156,0.05570095554231261,0.07087743272795806,0.22740044388252284,0.22740044388252284,0.22487510691594237,0.22487510691594237,0.12986652897710838,0.25,0.0,0.14778604248202679,0.14778604248202679,0.2037592533971156,0.0967648877167485,0.22740044388252284,0.14778604248202679,0.12986652897710838,0.14778604248202679,0.14778604248202679,0.07087743272795806,0.22487510691594237,0.14778604248202679,0.22487510691594237
Synthetic_taxon_18,0.25,0.14778604248202679,0.10035973024158956,0.2037592533971156,0.22487510691594237,0.25,0.25,0.2037592533971156,0.14778604248202679,0.14778604248202679,0.22740044388252284,0.22740044388252284,0.22487510691594237,0.22487510691594237,0.14778604248202679,0.25,0.14778604248202679,0.0,0.1376574302265968,0.2037592533971156,0.14778604248202679,0.22740044388252284,0.10035973024158956,0.14778604248202679,0.10035973024158956,0.1376574302265968,0.14778604248202679,0.22487510691594237,0.10035973024158956,0.22487510691594237
Synthetic_taxon_19,0.25,0.14778604248202679,0.1376574302265968,0.2037592533971156,0.22487510691594237,0.25,0.25,0.2037592533971156,0.14778604248202679,0.14778604248202679,0.22740044388252284,0.22740044388252284,0.22487510691594237,0.22487510691594237,0.14778604248202679,0.25,0.14778604248202679,0.1376574302265968,0.0,0.2037592533971156,0.14778604248202679,0.22740044388252284,0.1376574302265968,0.14778604248202679,0.1376574302265968,0.028886116884662468,0.14778604248202679,0.22487510691594237,0.1376574302265968,0.22487510691594237
Synthetic_taxon_20,0.25,0.2037592533971156,0.2037592533971156,0.0043694070020391905,0.22487510691594237,0.25,0.25,0.17512182567048046,0.2037592533971156,0.2037592533971156,0.22740044388252284,0.22740044388252284,0.22487510691594237,0.22487510691594237,0.2037592533971156,0.25,0.2037592533971156,0.2037592533971156,0.2037592533971156,0.0,0.2037592533971156,0.22740044388252284,0.2037592533971156,0.2037592533971156,0.2037592533971156,0.2037592533971156,0.2037592533971156,0.22487510691594237,0.2037592533971156,0.22487510691594237
Synthetic_taxon_21,0.25,0.12986652897710838,0.14778604248202679,0.2037592533971156,0.22487510691594237,0.25,0.25,0.2037592533971156,0.0967648877167485,0.0967648877167485,0.22740044388252284,0.22740044388252284,0.22487510691594237,0.22487510691594237,0.12986652897710838,0.25,0.0967648877167485,0.14778604248202679,0.14778604248202679,0.2037592533971156,0.0,0.22740044388252284,0.14778604248202679,0.12986652897710838,0.14778604248202679,0.14778604248202679,0.0967648877167485,0.22487510691594237,0.14778604248202679,0.22487510691594237
Synthetic_taxon_22,0.25,0.22740044388252284,0.22740044388252284,0.22740044388252284,0.22740044388252284,0.25,0.25,0.22740044388252284,0.22740044388252284,0.22740044388252284,0.02094552796926323,0.21821250939670966,0.22740044388252284,0.22740044388252284,0.22740044388252284,0.25,0.22740044388252284,0.22740044388252284,0.22740044388252284,0.22740044388252284,0.22740044388252284,0.0,0.22740044388252284,0.22740044388252284,0.22740044388252284,0.22740044388252284,0.22740044388252284,0.22740044388252284,0.22740044388252284,0.22740044388252284
Synthetic_taxon_23,0.25,0.14778604248202679,0.043798217789049895,0.2037592533971156,0.22487510691594237,0.25,0.25,0.2037592533971156,0.14778604248202679,0.14778604248202679,0.22740044388252284,0.22740044388252284,0.22487510691594237,0.22487510691594237,0.14778604248202679,0.25,0.14778604248202679,0.10035973024158956,0.1376574302265968,0.2037592533971156,0.14778604248202679,0.22740044388252284,0.0,0.14778604248202679,0.08890376773594301,0.1376574302265968,0.14778604248202679,0.22487510691594237,0.02894636211658608,0.22487510691594237
Synthetic_taxon_24,0.25,0.12035186786681558,0.14778604248202679,0.2037592533971156,0.22487510691594237,0.25,0.25,0.2037592533971156,0.12986652897710838,0.12986652897710838,0.22740044388252284,0.22740044388252284,0.22487510691594237,0.22487510691594237,0.12035186786681558,0.25,0.12986652897710838,0.14778604248202679,0.14778604248202679,0.2037592533971156,0.12986652897710838,0.22740044388252284,0.14778604248202679,0.0,0.14778604248202679,0.14778604248202679,0.12986652897710838,0.22487510691594237,0.14778604248202679,0.22487510691594237
Synthetic_taxon_25,0.25,0.14778604248202679,0.08890376773594301,0.2037592533971156,0.22487510691594237,0.25,0.25,0.2037592533971156,0.14778604248202679,0.14778604248202679,0.22740044388252284,0.22740044388252284,0.22487510691594237,0.22487510691594237,0.14778604248202679,0.25,0.14778604248202679,0.10035973024158956,0.1376574302265968,0.2037592533971156,0.14778604248202679,0.22740044388252284,0.08890376773594301,0.14778604248202679,0.0,0.1376574302265968,0.14778604248202679,0.22487510691594237,0.08890376773594301,0.22487510691594237
Synthetic_taxon_26,0.25,0.14778604248202679,0.1376574302265968,0.2037592533971156,0.22487510691594237,0.25,0.25,0.2037592533971156,0.14778604248202679,0.14778604248202679,0.22740044388252284,0.22740044388252284,0.22487510691594237,0.22487510691594237,0.14778604248202679,0.25,0.14778604248202679,0.1376574302265968,0.028886116884662468,0.2037592533971156,0.14778604248202679,0.22740044388252284,0.1376574302265968,0.14778604248202679,0.1376574302265968,0.0,0.14778604248202679,0.22487510691594237,0.1376574302265968,0.22487510691594237
Synthetic_taxon_27,0.25,0.12986652897710838,0.14778604248202679,0.2037592533971156,0.22487510691594237,0.25,0.25,0.2037592533971156,0.07087743272795806,0.00479528845765037,0.22740044388252284,0.22740044388252284,0.22487510691594237,0.22487510691594237,0.12986652897710838,0.25,0.07087743272795806,0.14778604248202679,0.14778604248202679,0.2037592533971156,0.0967648877167485,0.22740044388252284,0.14778604248202679,0.12986652897710838,0.14778604248202679,0.14778604248202679,0.0,0.22487510691594237,0.14778604248202679,0.22487510691594237
Synthetic_taxon_28,0.25,0.22487510691594237,0.22487510691594237,0.22487510691594237,0.13873796338085073,0.25,0.25,0.22487510691594237,0.22487510691594237,0.22487510691594237,0.22740044388252284,0.22740044388252284,0.13873796338085073,0.13873796338085073,0.22487510691594237,0.25,0.22487510691594237,0.22487510691594237,0.22487510691594237,0.22487510691594237,0.22487510691594237,0.22740044388252284,0.22487510691594237,0.22487510691594237,0.22487510691594237,0.22487510691594237,0.22487510691594237,0.0,0.22487510691594237,0.13873796338085073
Synthetic_taxon_29,0.25,0.14778604248202679,0.043798217789049895,0.2037592533971156,0.22487510691594237,0.25,0.25,0.2037592533971156,0.14778604248202679,0.14778604248202679,0.22740044388252284,0.22740044388252284,0.22487510691594237,0.22487510691594237,0.14778604248202679,0.25,0.14778604248202679,0.10035973024158956,0.1376574302265968,0.2037592533971156,0.14778604248202679,0.22740044388252284,0.02894636211658608,0.14778604248202679,0.08890376773594301,0.1376574302265968,0.14778604248202679,0.22487510691594237,0.0,0.22487510691594237
Synthetic_taxon_30,0.25,0.22487510691594237,0.22487510691594237,0.22487510691594237,0.0597325239450618,0.25,0.25,0.22487510691594237,0.22487510691594237,0.22487510691594237,0.22740044388252284,0.22740044388252284,0.13278791703550366,0.13278791703550366,0.22487510691594237,0.25,0.22487510691594237,0.22487510691594237,0.22487510691594237,0.22487510691594237,0.22487510691594237,0.22740044388252284,0.22487510691594237,0.22487510691594237,0.22487510691594237,0.22487510691594237,0.22487510691594237,0.13873796338085073,0.22487510691594237,0.0
